"","Gene11","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene33","Gene34","Gene35","Gene42","Gene43","Gene82","Gene85","Gene87","Gene88","Gene89","Gene90","Gene92","Gene94","Gene95","Gene96","Gene97","Gene98","Gene117","Gene121","Gene122","Gene125","Gene139","Gene140","Gene143","Gene147","Gene152","Gene155","Gene161","Gene165","Gene192","Gene194","Gene233","Gene272","Gene351","Gene414","Gene425","Gene586","Gene602","Gene614","Gene629","Gene659","Gene697","Gene791","Gene819","Gene826","Gene829","Gene966","Gene1000","Gene1026","Gene1076","Gene1107","Gene1111","Gene1139","Gene1171","Gene1206","Gene1374","Gene1429","Gene1431","Gene1439","Gene1492","Gene1509","Gene1607","Gene1628","Gene1657","Gene1695","Gene1714","Gene1753","Gene1755","Gene1829","Gene1873","Gene1902","Gene1939","Gene1941"
"Cell37",0,40,0,12,0,34,1,0,2,19,70,50,1,6,17,7,38,6,0,6,6,12,0,2,0,23,25,69,0,16,0,12,1,5,3,11,1,5,1,39,50,2,0,28,11,20,150,5,3,61,8,7,11,287,26,106,1,53,1,30,44,55,1,0,13,38,0,5,2,2,8,41,36,0,24,44,30,23,2,7,10,1,9,19
"Cell38",0,45,2,17,3,43,1,0,2,25,54,38,0,4,41,6,57,1,8,32,5,47,0,2,0,36,19,95,0,8,1,9,3,8,0,9,2,7,0,30,80,6,0,23,0,17,121,0,3,72,19,3,3,320,23,169,0,60,0,15,33,65,1,6,7,31,0,2,4,4,5,77,60,0,43,68,26,38,2,7,0,3,9,30
"Cell39",0,31,0,8,5,22,0,0,0,14,30,61,0,1,30,7,30,4,2,23,1,14,5,3,1,40,24,55,0,5,1,10,1,5,2,6,4,0,0,28,44,2,0,25,4,18,104,1,9,53,12,1,2,255,26,128,0,66,2,8,40,29,0,2,5,20,0,15,1,1,6,81,54,0,53,51,28,51,0,4,3,2,20,15
"Cell40",0,25,0,19,2,44,0,0,0,11,58,10,0,1,15,7,20,2,0,16,11,16,2,4,1,13,15,40,0,10,0,6,0,5,1,2,1,0,0,44,59,2,0,16,7,31,98,0,2,32,3,6,2,249,18,131,0,48,0,4,23,59,0,1,4,9,2,3,3,2,5,42,44,0,20,56,9,24,1,8,14,0,12,20
"Cell41",0,84,8,28,8,49,1,0,3,41,97,78,1,4,19,9,87,0,4,23,2,16,1,2,5,24,59,59,0,15,2,17,2,19,0,7,7,0,0,59,50,6,1,84,3,28,189,3,1,87,12,14,1,347,36,166,0,77,0,10,48,70,3,5,8,21,0,5,6,1,7,79,75,0,63,61,28,51,6,21,9,0,8,17
"Cell42",0,7,1,5,1,28,0,0,2,15,20,31,0,4,14,5,36,2,4,22,3,10,3,1,0,11,25,57,0,7,0,5,5,8,4,5,1,0,0,31,27,6,1,30,4,15,78,0,1,37,3,6,5,149,18,54,0,46,1,1,21,37,1,1,12,13,0,2,0,2,6,37,17,0,27,40,11,21,0,2,0,0,6,8
"Cell43",0,29,1,19,8,25,0,0,10,26,88,43,0,2,34,4,62,2,1,36,10,27,11,2,2,60,28,48,0,4,0,10,2,7,0,19,9,5,0,50,54,13,0,39,0,21,197,3,6,102,4,10,4,336,32,147,0,71,0,24,36,79,3,2,12,33,0,10,9,22,11,74,74,1,47,70,10,42,2,8,6,0,15,34
"Cell44",0,17,1,9,3,22,4,0,4,17,47,42,2,10,25,2,25,0,1,33,5,13,1,1,1,17,14,53,0,6,0,8,1,9,1,5,3,0,0,26,19,0,2,26,0,28,146,1,5,54,13,2,1,164,30,89,0,55,0,7,19,46,1,2,6,24,0,2,4,4,3,56,46,0,30,94,20,39,1,10,2,3,13,14
"Cell45",0,41,3,22,2,18,0,0,9,16,34,57,0,4,26,12,46,0,1,36,13,17,5,1,4,29,44,102,0,5,1,5,0,13,0,13,11,2,0,49,98,6,0,42,8,55,176,4,2,64,8,2,16,199,37,120,0,69,0,11,19,83,5,3,9,30,0,9,6,10,11,58,89,0,36,70,12,71,2,15,4,1,7,38
"Cell46",0,62,1,17,8,58,3,0,4,18,62,87,3,10,61,16,59,2,5,8,5,10,6,3,2,39,48,94,0,5,0,21,1,6,5,7,4,6,0,45,73,9,1,41,3,48,242,3,5,70,14,8,6,361,52,151,1,98,0,9,24,100,7,0,12,40,0,28,6,2,9,93,74,0,45,88,19,55,2,4,3,3,40,32
"Cell47",0,46,0,20,1,52,1,0,8,26,77,84,1,12,28,23,63,1,2,19,7,17,14,1,2,32,40,87,2,14,0,10,2,4,2,5,1,5,0,62,42,7,0,76,1,34,193,8,7,99,12,4,3,400,20,185,1,84,0,8,31,82,1,1,9,19,0,5,3,4,6,75,41,0,43,93,16,40,2,11,3,0,11,27
"Cell48",0,52,0,18,5,52,0,0,0,25,59,60,0,8,33,8,24,2,4,24,12,24,1,1,0,20,24,66,0,9,0,17,0,10,2,4,0,0,0,39,52,5,0,24,6,30,165,6,2,59,9,0,6,244,38,78,0,47,0,6,24,57,0,2,5,34,0,12,0,6,3,47,39,0,23,61,23,42,2,7,3,1,16,18
"Cell49",0,39,0,20,3,43,6,0,4,17,69,57,1,9,44,4,57,5,5,33,15,23,1,12,3,32,51,89,0,4,1,8,0,21,1,16,2,1,0,54,107,7,2,67,1,36,162,1,7,68,17,6,4,354,30,195,0,88,0,16,25,72,1,4,14,48,0,10,8,1,6,80,94,0,35,63,22,47,1,21,5,0,14,67
"Cell50",0,31,0,13,10,40,2,0,3,13,38,45,0,7,27,11,57,0,1,20,6,7,4,2,4,29,16,46,0,6,0,10,0,5,3,9,4,2,0,41,72,0,1,26,3,33,155,0,7,64,36,2,5,317,14,75,0,59,0,6,34,34,0,1,11,7,0,6,5,0,10,57,18,0,33,46,23,69,1,8,6,1,20,24
"Cell51",0,50,0,16,1,40,3,1,3,11,43,60,4,19,37,2,60,2,1,24,5,27,0,0,0,41,40,89,0,9,0,5,2,11,0,9,3,1,0,42,49,7,0,33,0,24,190,7,2,97,14,1,8,315,18,70,0,55,1,11,28,105,12,0,9,24,0,13,1,1,11,77,49,3,37,70,18,45,1,15,2,1,11,26
"Cell52",0,55,0,16,5,20,0,0,3,20,81,48,0,11,25,11,36,0,1,24,8,35,2,6,1,22,34,65,0,13,1,13,3,12,3,4,9,2,0,35,54,3,0,41,2,33,217,0,2,65,21,5,14,269,32,112,0,79,0,7,28,56,4,1,9,32,0,11,8,18,4,56,63,0,29,60,27,50,3,7,1,0,7,42
"Cell53",0,71,0,13,2,30,0,0,6,16,43,48,0,8,45,29,51,1,3,54,14,20,1,1,6,30,38,85,0,8,0,15,0,4,1,15,6,1,0,67,80,0,0,35,1,33,153,3,1,61,8,6,6,243,33,117,0,54,1,17,62,57,1,1,7,45,0,10,4,5,6,91,63,0,38,90,26,49,3,8,2,3,13,28
"Cell54",0,39,0,21,3,27,0,0,3,10,24,54,2,5,32,9,53,6,4,36,6,40,1,2,2,36,39,89,0,6,2,13,4,1,1,3,3,4,0,78,52,4,0,46,3,52,210,3,2,58,21,4,6,209,38,135,1,73,0,6,42,106,2,0,5,49,0,21,0,0,11,59,48,0,35,46,15,30,1,8,3,0,14,31
"Cell55",0,42,3,11,4,33,3,0,3,25,37,38,0,8,26,14,27,3,2,18,1,22,1,6,2,26,64,99,0,7,0,7,2,5,0,8,0,2,0,27,38,3,0,31,9,19,143,0,4,47,5,0,1,175,18,126,0,64,0,4,27,57,2,2,6,41,0,7,0,4,4,46,49,0,35,58,6,27,5,7,0,1,20,31
"Cell56",0,35,6,23,7,38,0,0,0,23,42,25,0,4,30,20,43,1,2,14,4,39,3,2,2,25,14,48,0,14,4,21,1,3,2,0,3,8,0,65,45,2,0,35,4,38,122,2,6,60,11,14,15,358,47,80,0,78,0,15,30,59,1,2,7,39,1,15,3,0,6,52,48,0,35,51,19,23,0,6,6,0,18,22
"Cell57",0,47,2,29,7,55,0,0,5,37,68,80,0,14,21,12,54,1,3,51,5,36,2,10,1,17,61,102,0,8,3,20,1,8,2,10,11,5,6,75,69,9,3,31,11,62,212,0,3,117,16,14,3,306,53,126,2,88,0,8,22,63,2,2,11,56,0,7,1,1,17,52,89,1,61,120,21,65,4,6,5,1,22,45
"Cell58",0,22,0,9,1,36,4,0,2,18,62,36,0,3,13,4,25,2,2,29,5,26,7,1,2,19,16,40,0,9,0,14,7,6,3,5,2,2,1,48,61,3,0,21,1,16,113,0,11,51,8,6,9,181,15,116,0,26,0,7,22,62,3,1,10,23,0,4,3,3,3,52,38,0,31,29,9,39,0,2,2,0,10,16
"Cell59",0,20,3,12,2,16,0,0,1,13,21,25,0,4,5,9,35,2,2,20,4,18,5,4,0,26,32,50,0,11,0,7,0,7,0,2,4,1,0,31,29,1,1,50,9,12,113,5,1,45,5,1,7,209,14,99,0,37,0,9,34,51,0,3,6,21,0,8,3,0,6,40,37,0,15,36,7,22,2,3,2,0,6,14
"Cell60",0,33,0,11,2,34,1,0,1,18,44,50,0,14,23,1,26,0,0,40,11,10,1,2,1,34,17,82,0,21,1,11,1,10,0,7,2,7,2,26,44,3,0,25,3,43,199,0,2,78,11,10,6,234,16,94,0,60,0,12,25,57,3,3,11,30,0,4,0,5,7,49,49,0,25,37,33,24,0,11,3,1,13,18
"Cell61",0,58,2,9,9,23,1,0,1,27,54,59,2,9,32,3,47,0,3,20,7,10,2,4,2,24,21,66,0,5,2,11,0,3,1,7,5,2,1,33,89,1,0,24,3,60,168,1,1,52,15,1,8,163,30,122,0,36,0,11,36,65,3,1,6,20,0,5,2,4,10,75,39,0,22,79,9,44,2,9,3,0,6,31
"Cell62",0,46,1,29,8,51,0,0,2,29,43,72,1,2,44,7,46,3,0,64,7,25,6,5,5,40,25,71,0,13,0,9,1,7,1,11,12,6,0,69,82,8,1,20,2,28,198,6,19,80,16,6,12,342,31,146,0,66,0,14,26,102,10,1,9,59,0,9,0,2,4,93,70,0,39,109,19,68,0,8,8,1,21,26
"Cell63",0,40,1,9,6,18,0,0,11,36,76,43,0,7,26,16,68,0,0,34,8,28,0,4,1,24,46,93,0,6,0,18,2,1,1,12,6,0,0,44,80,6,2,50,1,54,183,9,7,60,30,12,6,253,39,153,0,74,0,22,58,85,3,2,6,35,0,11,2,9,5,83,83,0,36,115,22,48,1,5,9,3,14,19
"Cell64",0,30,0,20,3,27,0,0,5,33,65,50,2,6,33,13,58,2,8,46,23,10,4,0,4,18,42,88,0,16,0,13,1,4,0,10,4,1,0,82,98,5,5,67,2,21,187,4,2,71,6,9,7,394,48,122,2,42,0,5,39,56,2,5,6,77,0,6,3,7,6,61,55,0,39,65,29,55,2,6,12,0,10,30
"Cell65",0,40,1,7,1,56,0,1,1,25,63,57,1,4,23,10,54,1,2,13,9,38,6,6,2,23,39,89,0,30,0,13,1,3,0,15,3,2,1,37,56,2,0,48,10,24,153,8,2,111,17,8,8,244,35,144,1,81,0,9,33,100,1,0,8,28,0,10,13,9,10,77,74,2,29,86,24,41,4,15,9,0,12,52
"Cell66",0,43,0,14,5,22,0,0,5,18,67,57,2,6,35,18,37,2,7,24,5,20,4,4,6,36,24,71,0,17,5,6,5,4,2,4,8,6,0,47,30,2,0,20,0,41,153,2,8,75,9,3,2,271,24,192,0,59,0,10,22,62,10,1,11,34,0,10,8,11,2,71,47,0,21,77,23,41,1,11,3,2,19,35
"Cell67",0,33,1,10,1,72,1,0,9,34,33,43,2,3,28,9,36,1,2,14,2,10,2,3,3,22,32,51,0,11,0,13,1,7,5,5,4,1,0,57,41,3,0,28,5,35,179,1,2,57,24,1,7,203,24,82,0,71,0,6,34,51,0,1,16,29,0,9,7,2,3,89,54,1,38,40,14,21,1,16,9,2,6,17
"Cell68",0,24,0,15,3,33,0,0,8,10,59,62,1,0,51,10,34,0,6,17,6,15,1,2,5,30,27,62,0,12,1,4,1,3,4,7,3,2,1,41,54,7,0,51,7,42,187,0,21,42,27,2,5,211,20,128,0,56,0,9,29,64,5,1,12,16,0,15,0,4,2,66,46,0,21,46,20,31,1,22,6,2,8,25
"Cell69",0,21,0,23,3,33,0,0,6,14,40,40,6,7,26,10,26,0,6,26,5,21,0,0,0,25,24,59,0,12,0,5,1,5,2,3,0,0,0,28,21,3,0,24,2,21,126,4,1,66,19,1,4,189,21,134,0,45,0,1,15,56,3,0,3,10,0,3,0,1,3,37,43,4,22,66,9,34,3,4,9,1,12,19
"Cell70",0,56,0,12,1,4,0,0,0,10,26,32,0,8,11,1,28,1,0,27,7,17,1,0,0,12,34,47,0,6,0,10,3,1,3,8,3,0,0,20,23,2,4,17,3,23,121,3,3,34,7,3,2,172,12,79,0,50,0,7,13,45,2,0,8,19,0,4,1,2,3,17,35,0,10,40,17,25,2,7,3,0,10,12
"Cell71",0,54,0,22,5,40,2,0,2,30,55,44,1,2,21,7,26,4,2,18,3,30,3,4,3,25,36,53,0,5,0,13,0,7,0,3,1,2,2,35,47,3,0,39,1,46,140,0,3,87,3,2,0,260,20,72,0,55,0,4,14,66,2,0,5,23,0,6,3,4,15,35,48,0,26,88,12,40,1,7,2,1,10,19
"Cell72",0,13,0,7,2,21,0,0,0,16,23,35,0,4,15,4,33,1,0,6,3,19,2,1,0,18,28,37,0,1,0,9,1,4,0,1,0,0,1,30,44,4,0,17,4,31,96,0,2,33,17,0,1,198,30,77,0,42,0,5,16,34,0,2,9,25,0,1,3,1,10,30,44,0,19,46,14,25,4,5,7,0,4,18
"Cell73",0,84,0,20,1,24,3,0,0,27,48,63,0,9,36,7,53,3,0,11,3,32,1,2,0,31,35,65,0,6,0,13,0,9,0,22,1,6,0,65,53,8,0,50,3,27,170,2,12,74,11,5,8,429,23,123,0,97,0,13,19,99,0,3,9,39,0,10,6,3,5,72,39,0,33,62,16,41,2,16,18,0,12,43
"Cell74",0,26,4,11,4,29,0,0,3,29,28,60,0,3,15,5,53,0,0,35,17,36,2,2,2,18,47,57,0,0,0,5,4,11,0,6,2,1,2,42,60,1,0,22,2,29,135,1,2,44,12,4,12,241,28,83,0,36,0,5,33,61,0,6,6,24,0,4,6,2,2,52,45,0,30,44,7,14,0,9,3,2,15,11
"Cell75",0,47,0,8,2,33,2,0,3,16,47,27,0,12,54,9,58,3,5,54,4,26,3,2,1,31,34,66,0,10,0,6,0,6,0,25,5,0,0,62,47,1,0,38,0,31,188,2,18,51,8,3,9,273,40,92,0,44,0,18,29,40,4,0,5,20,0,7,1,2,5,54,52,0,35,69,9,49,3,11,7,2,3,22
